Title,UrlName,Summary,Article_Body__c,Category__c,IsVisibleInCsp
After-Hours Emergency Contact Procedures,after-hours-emergency-contact-procedures,How to reach Meridian for an emergency outside business hours.,"<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">If you have an emergency outside normal business hours, call the Meridian 24/7 emergency line at <strong>(800) 555-0142</strong>. Emergency phone support is available for agreements that include emergency service (Silver, Gold, and Platinum).</p>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Before you call, if it&#39;s safe to do so, have ready: your account or site name, the affected equipment, what&#39;s happening, and any safety concerns. This helps us triage and dispatch quickly.</p>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;""><strong>Safety first.</strong> If there&#39;s an immediate threat to life — a gas leak, electrical hazard, fire, or smoke — evacuate and call 911 before calling Meridian.</p>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Once your emergency is logged, Meridian responds within your coverage level&#39;s target time (Silver within 8 hours, Gold within 4, Platinum within 2). For anything that isn&#39;t urgent, please use a non-urgent service request instead — see “How to Submit a Non-Urgent Service Request.”</p>",Service,true
Emergency Service Response Times by Coverage Level,emergency-service-response-times-by-coverage-level,What counts as an emergency and the response target for each coverage level.,"<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">An emergency is a situation that needs immediate attention: loss of heating or cooling in a critical space, a suspected refrigerant or gas leak, water intrusion, smoke or burning smells, or any condition that threatens safety, occupants, or sensitive operations. Routine concerns and questions are not emergencies — submit those as a non-urgent request instead.</p>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">If your agreement includes emergency service, Meridian responds within the target time for your coverage level, measured from when your request is logged:</p>
<ul style=""margin: 8px 0px;color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;""><li><strong>Silver</strong> — 8-hour response target</li><li><strong>Gold</strong> — 4-hour response target</li><li><strong>Platinum</strong> — 2-hour response target</li></ul>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Bronze agreements do not include emergency service; emergency calls on a Bronze contract are handled on a best-effort, billable basis. To reach us for an emergency, see “After-Hours Emergency Contact Procedures.” To confirm your coverage level and whether emergency service is included, ask the portal assistant or open your contract in the portal.</p>",Contracts,true
Frequently Asked Questions About PM Visits,frequently-asked-questions-about-pm-visits,Quick answers to the most common questions about preventive maintenance visits.,"<div class=""body"">
<p><strong>How many PM visits do I get?</strong> It depends on your coverage level — Bronze includes 1 per year, Silver 2, and Gold and Platinum 4 each.</p>
<p><strong>When is my next visit?</strong> Ask the portal assistant or open the equipment record in the portal; each covered unit carries its next scheduled service date.</p>
<p><strong>What happens during a visit?</strong> A technician inspects the equipment, replaces or cleans filters, checks belts, pressures, and electrical connections, verifies controls, and documents findings. See “Preventive Maintenance Visit Schedule and Frequency.”</p>
<p><strong>Do I need to be on site?</strong> Someone needs to provide access to the equipment and mechanical spaces. See “Technician Identification and Site Access Procedures.”</p>
<p><strong>Can I reschedule?</strong> Yes — with as much notice as possible. Rescheduling doesn&#39;t reduce your annual visit count. See “Reschedule or Cancel a Scheduled Service Visit.”</p>
<p><strong>Will I get a report?</strong> The visit outcome is recorded against your equipment, and inspections produce a report you can review. See “How to Read Your Inspection Report.”</p>
</div>",Service,true
How to Read Your Inspection Report,how-to-read-your-inspection-report,What each field on a Meridian inspection report means and what to do next.,"<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">After certain visits, Meridian produces an inspection report for the equipment that was checked. Here&#39;s how to read the key fields:</p>
<ul style=""margin: 8px 0px;color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;""><li><strong>Inspection Type</strong> — the reason for the inspection (for example Routine, Annual Compliance, Post-Repair, Warranty, or Code Compliance).</li><li><strong>Overall Condition</strong> — the inspector&#39;s rating, from Excellent to Good, Fair, Poor, or Critical.</li><li><strong>Result</strong> — Pass, Conditional Pass, or Fail. A Conditional Pass means the equipment is usable but has issues that should be addressed.</li><li><strong>Compliance Status</strong> — Compliant, Conditional, or Non-Compliant, for inspections tied to a code or regulatory standard.</li><li><strong>Findings &amp; Recommendations</strong> — what the inspector observed and advises.</li><li><strong>Recommended Action</strong> — ranges from No Action Required to Continued Monitoring, Schedule Repair, Schedule Replacement, or Immediate Action Required.</li></ul>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">The report may also include estimated repair or replacement costs and a next-inspection due date. If your report recommends repair or replacement, you can act on it by submitting a service request — see “How to Submit a Non-Urgent Service Request.” To see your most recent inspection, ask the portal assistant or open the equipment record in the portal.</p>",Reports,true
How to Submit a Non-Urgent Service Request,how-to-submit-a-non-urgent-service-request,"How to submit a routine, non-emergency service request and what happens next.","<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Non-urgent requests cover routine needs: a noticeable but non-critical issue, a question about your equipment, a follow-up from a recent visit, or a minor performance concern. If you have a true emergency — loss of heating or cooling in a critical space, a suspected refrigerant leak, water intrusion, or any safety hazard — don&#39;t use this process. Call the Meridian emergency line so we can dispatch under your contract&#39;s response time. See “After-Hours Emergency Contact Procedures.”</p>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">To submit a non-urgent request, describe the issue to the portal assistant — tell it what&#39;s happening and which site or equipment is affected — or open a request directly in the portal. Helpful details to include:</p>
<ul style=""margin: 8px 0px;color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;""><li>The site the issue is at</li><li>The affected equipment (a model number or location within the building speeds routing)</li><li>What you&#39;re observing</li><li>How urgent it feels</li></ul>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Once submitted, Meridian logs a service case and confirms receipt. You can track its status anytime in the portal. A coordinator reviews new requests during business hours and schedules work based on your coverage level and the issue&#39;s priority. Emergency-eligible issues on Silver, Gold, and Platinum agreements are handled under your contracted response time.</p>",Customer Portal,true
Preventive Maintenance Visit Schedule and Frequency,preventive-maintenance-visit-schedule-and-frequency,"How PM visits are scheduled, how many you get, and what happens during one.","<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Preventive maintenance (PM) visits are scheduled proactively across the year so small issues are caught before they become failures. How many you receive depends on your coverage level: Bronze includes 1 visit per year, Silver 2, and Gold and Platinum 4 each.</p>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Meridian schedules each visit in advance and assigns it to covered equipment, so every covered unit carries a next-scheduled-service date. During a PM visit a technician typically:</p>
<ul style=""margin: 8px 0px;color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;""><li>Inspects the equipment and checks operating conditions</li><li>Replaces or cleans filters and clears coils as needed</li><li>Checks belts, motors, refrigerant pressures, and electrical connections</li><li>Verifies controls and building automation settings</li><li>Documents findings and flags any follow-up work</li></ul>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">After the visit, the outcome is recorded against the equipment, and any recommended follow-up is noted. To see when your next visit is scheduled, ask the portal assistant or open the equipment record in the portal. See also “Frequently Asked Questions About PM Visits” and “Reschedule or Cancel a Scheduled Service Visit.”</p>",Service,true
Reading Your Equipment Health Score,reading-your-equipment-health-score,"What the equipment health score means, how it's derived, and how to read the ranges.","<div class=""body"">
<p>The equipment health score is a 0–100 rating that summarizes how well a piece of equipment is operating — the higher the score, the healthier the equipment. It&#39;s calculated automatically from continuous monitoring data, so it reflects recent real-world operation rather than a one-time inspection.</p>
<p>The score is driven by a few signals from the equipment&#39;s monitoring data:</p>
<ul style=""margin: 8px 0px;""><li>Operating vibration — rising vibration can indicate mechanical wear.</li><li>How consistently the equipment holds its temperature setpoint — large or frequent swings suggest it&#39;s struggling to keep up.</li><li>Active fault conditions reported by the equipment — more, or more severe, active faults lower the score.</li></ul>
<p>As a rough guide: <strong>90–100</strong> is operating normally; <strong>70–89</strong> shows some wear worth keeping an eye on; <strong>below 70</strong> warrants closer attention and possibly service. A lower score doesn&#39;t necessarily mean imminent failure — it flags equipment that deserves a closer look, ideally alongside its latest inspection findings.</p>
<p>Not all equipment is monitored: simpler units that don&#39;t report telemetry won&#39;t have a score. To check the health of a specific unit — for example, “is my chiller running OK?” — just ask the portal assistant. See also “Pre-Failure Equipment Alerts and Proactive Service.”</p>
</div>",Reports,true
Reschedule or Cancel a Scheduled Service Visit,reschedule-or-cancel-a-scheduled-service-visit,How to change or cancel an upcoming maintenance or service appointment.,"<div class=""body"">
<p>Each piece of covered equipment has a next scheduled service date. If an upcoming visit doesn&#39;t work for your site, you can reschedule or cancel it — just give us as much notice as you can (ideally at least 48 hours) so we can adjust the technician&#39;s route.</p>
<p>To request a change, tell the portal assistant which site or equipment is affected and your preferred timing, or open a request in the portal. Rescheduling a preventive maintenance visit simply shifts the date — it doesn&#39;t reduce the number of annual visits included in your coverage level.</p>
<p>Note that emergencies can&#39;t be scheduled in advance; if you have an urgent issue, see “After-Hours Emergency Contact Procedures.” To confirm what&#39;s currently scheduled, ask the portal assistant or view the equipment record in the portal.</p>
</div>",Customer Portal,true
Technician Identification and Site Access Procedures,technician-identification-and-site-access-procedures,How to verify a Meridian technician and prepare for site access.,"<div class=""body"">
<p>Your safety and security matter to us. Every Meridian technician carries a photo ID badge and arrives in branded uniform, typically in a marked vehicle. Because visits are scheduled in advance, you can also confirm that a visit is on the books before granting access — ask the portal assistant or check the equipment&#39;s scheduled service date in the portal.</p>
<p>If someone arrives claiming to be from Meridian and you can&#39;t verify them — no badge, no scheduled visit on record, or anything that feels off — do not grant access to mechanical spaces. Contact Meridian to confirm before letting anyone in.</p>
<p>To help visits go smoothly, please make sure the technician can reach the equipment: mechanical room access, any required keys or escort, and a clear path to the units. See “Mechanical Room Access Requirements” for details.</p>
</div>",Security,true
Understanding Your Service Contract Coverage Levels,understanding-your-service-contract-coverage-levels,"What the Bronze, Silver, Gold, and Platinum coverage levels include.","<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Your Meridian agreement is assigned a coverage level — Bronze, Silver, Gold, or Platinum — that sets how many preventive maintenance (PM) visits you receive each year, whether emergency service is included, and how quickly we respond to urgent issues. Higher tiers include more frequent maintenance and faster guaranteed response.</p>
<ul style=""margin: 8px 0px;color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;""><li><strong>Bronze</strong> — 1 PM visit per year — emergency service not included — 24-hour response target</li><li><strong>Silver</strong> — 2 PM visits per year — emergency service included — 8-hour response target</li><li><strong>Gold</strong> — 4 PM visits per year — emergency service included — 4-hour response target</li><li><strong>Platinum</strong> — 4 PM visits per year — emergency service included — 2-hour response target</li></ul>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Your response target is the time within which a Meridian technician will respond to a qualifying emergency, measured from when the request is logged. It applies to emergency-eligible issues, not routine requests.</p>
<p style=""color: #1a1a1a;font-family: -apple-system, &#39;Segoe UI&#39;, Roboto, Helvetica, Arial, sans-serif;font-size: medium;white-space: normal;"">Coverage applies to the equipment named in your agreement. If you&#39;ve recently installed or acquired equipment, confirm it&#39;s covered — see “Adding Equipment to an Existing Service Contract.” To check your current coverage level, response time, or PM visit count, ask the portal assistant or open your contract in the portal.</p>",Contracts,true
